Serial Number,Assessed Value,Sale Amount,Sales Ratio,Residential Type
160454,156270.0,228000.0,0.685394737,Condo
150066,282080.0,309036.0,0.912773916,Single Family
70037,153210.0,170000.0,0.901235294,Single Family
13139,279300.0,415000.0,0.673012048,Single Family
200326,236390.0,407500.0,0.58,Single Family
120116,91140.0,117000.0,0.778974359,Condo
90375,233030.0,335000.0,0.69561194,Single Family
190045,160960.0,354900.0,0.4535,Single Family
181037,211890.0,355000.0,0.5968,Two Family
12008,165130.0,225000.0,0.733911111,Single Family
200624,181000.0,345000.0,0.5246,Single Family
1800645,331070.0,405000.0,0.8174,Single Family
190201,202980.0,309000.0,0.6569,Condo
900029,94710.0,165500.0,0.572265861,Single Family
70077,318000.0,465000.0,0.683870968,Single Family
70530,114030.0,78500.0,1.452611465,Single Family
160332,133280.0,232300.0,0.573740852,Single Family
15009,133350.0,199000.0,0.670100503,Single Family
180074,206800.0,359000.0,0.576,Single Family
121827,159110.0,122000.0,1.304180328,Condo
110115,288690.0,395000.0,0.730860759,Single Family
180920,314440.0,36000.0,8.7344,Single Family
80197,337890.0,492500.0,0.686071066,Single Family
80170,135300.0,214000.0,0.632242991,Single Family
11146,89630.0,107500.0,0.833767442,Condo
190053,121590.0,198000.0,0.6141,Single Family
180984,128500.0,190000.0,0.6763,Single Family
200123,140000.0,215000.0,0.6511,Single Family
151056,114140.0,215000.0,0.530883721,Single Family
60312,457400.0,1200000.0,0.381166667,Single Family
60331,149100.0,225000.0,0.662666667,Single Family
170036,78120.0,160000.0,0.48825,Three Family
170631,158500.0,187000.0,0.8475,Two Family
120758,161560.0,279000.0,0.5790681,Single Family
190293,238240.0,435000.0,0.5477,Single Family
180444,190120.0,471900.0,0.402881967,Single Family
900053,167020.0,248000.0,0.673467742,Single Family
201653,933520.0,1775000.0,0.5259,Single Family
192290,88430.0,120000.0,0.7369,Single Family
100511,79940.0,71000.0,1.125915493,Condo
80613,384860.0,500000.0,0.76972,Single Family
110013,390600.0,507000.0,0.770414201,Single Family
190037,1468000.0,4000000.0,0.367,Single Family
15655,77465.0,227000.0,0.341255507,Three Family
120135,230300.0,336000.0,0.685416667,Single Family
130193,93610.0,35500.0,2.636901408,Single Family
140664,160440.0,225000.0,0.713066667,Single Family
60009,126700.0,259000.0,0.489189189,Single Family
180120,182200.0,243000.0,0.7497,Single Family
150308,120950.0,220000.0,0.549772727,Single Family
200296,158200.0,321101.0,0.492679873,Single Family
190157,141200.0,200000.0,0.706,Single Family
90660,93450.0,105000.0,0.89,Condo
140268,215300.0,358000.0,0.601396648,Single Family
70230,118330.0,170500.0,0.694017595,Single Family
80368,388800.0,525000.0,0.740571429,Single Family
200525,49910.0,90000.0,0.5545,Condo
140842,114870.0,175000.0,0.6564,Condo
15756,176540.0,220000.0,0.802454545,Single Family
15122,222530.0,308500.0,0.721329011,Single Family
201024,222370.0,280000.0,0.7941,Single Family
110250,129630.0,115000.0,1.127217391,Condo
140235,243100.0,330000.0,0.736666667,Single Family
140528,113800.0,125000.0,0.9104,Condo
900113,318920.0,365000.0,0.873753425,Single Family
160198,129000.0,185000.0,0.697297297,Condo
90189,47040.0,48000.0,0.98,Single Family
60104,186700.0,354000.0,0.52740113,Condo
1900447,198890.0,324900.0,0.6122,Single Family
110212,110600.0,130000.0,0.850769231,Single Family
160115,160100.0,120299.0,1.330850631,Three Family
190100,107380.0,165000.0,0.6508,Two Family
140811,106330.0,160000.0,0.6645625,Single Family
1600541,106960.0,180900.0,0.591265893,Condo
110206,215000.0,169000.0,1.272189349,Two Family
140360,157980.0,47500.0,3.325894737,Three Family
120014,508400.0,649000.0,0.783359014,Single Family
190326,187250.0,200000.0,0.9363,Single Family
190646,18570.0,35000.0,0.5306,Condo
190109,15100.0,21000.0,0.719,Single Family
150713,137480.0,150000.0,0.916533333,Single Family
110207,757190.0,1120000.0,0.6760625,Single Family
1900247,300530.0,345000.0,0.8711,Condo
91000,159990.0,110000.0,1.454454545,Three Family
14049,321700.0,230000.0,1.398695652,Single Family
200842,178080.0,325000.0,0.5479,Single Family
162324,265930.0,435000.0,0.611333333,Single Family
13010,272690.0,299000.0,0.912006689,Single Family
9389,156310.0,210000.0,0.744333333,Single Family
202023,49460.0,175000.0,0.2826,Three Family
19114,242900.0,381500.0,0.6367,Single Family
161377,239430.0,460000.0,0.5205,Single Family
14218,118420.0,111000.0,1.066846847,Single Family
140502,112770.0,149000.0,0.756845638,Single Family
150156,107200.0,120000.0,0.893333333,Single Family
160145,182400.0,222500.0,0.819775281,Single Family
110124,1414910.0,1400000.0,1.01065,Single Family
60319,80781.0,186000.0,0.434306452,Single Family
150489,106100.0,38637.0,2.746072418,Single Family
70514,184300.0,245000.0,0.752244898,Single Family
100021,189960.0,155000.0,1.225548387,Single Family
20000232,239890.0,530000.0,0.4526,Single Family
60142,177870.0,288000.0,0.617604167,Single Family
60267,40670.0,429190.0,0.094759897,Condo
101360,139540.0,90000.0,1.550444444,Two Family
1800404,32950.0,60000.0,0.5491,Condo
60930,191520.0,410000.0,0.467121951,Condo
190028,331800.0,150000.0,2.212,Two Family
140648,506100.0,775000.0,0.653032258,Single Family
180242,979500.0,1092500.0,0.896567506,Single Family
190233,139200.0,206000.0,0.6757,Single Family
20542,524760.0,920000.0,0.5703,Single Family
60096,235750.0,352500.0,0.668794326,Single Family
12229,214690.0,216750.0,0.990495963,Condo
100149,1820630.0,2300000.0,0.791578261,Single Family
70514,152320.0,230000.0,0.66226087,Single Family
200400,65900.0,384420.0,0.171427085,Single Family
70241,2099440.0,1525000.0,1.376681967,Single Family
200210,71960.0,146000.0,0.4928,Condo
171983,105510.0,170000.0,0.620647059,Single Family
170312,220300.0,360000.0,0.6119,Single Family
1901637,849280.0,775000.0,1.0958,Single Family
140015,128610.0,225500.0,0.570332594,Single Family
90278,153260.0,164500.0,0.931671733,Two Family
60149,111720.0,245000.0,0.456,Single Family
80113,1641520.0,2475000.0,0.663240404,Single Family
80226,154000.0,211000.0,0.72985782,Single Family
60273,81800.0,162900.0,0.502148557,Single Family
70186,487760.0,687000.0,0.709985444,Single Family
200198,143730.0,281000.0,0.5114,Single Family
140147,122220.0,105700.0,1.156291391,Two Family
120131,166940.0,231000.0,0.722683983,Single Family
110211,132770.0,187900.0,0.706599255,Condo
90008,24900.0,25000.0,0.996,Single Family
61080,109680.0,181200.0,0.605298013,Single Family
162256,224700.0,359900.0,0.624340094,Single Family
19563,46900.0,167000.0,0.2808,Single Family
201313,528010.0,829000.0,0.6369,Condo
124605,141300.0,178000.0,0.793820225,Two Family
10182,198000.0,290000.0,0.682758621,Single Family
170171,62230.0,45000.0,1.3828,Single Family
60065,10710.0,17000.0,0.63,Single Family
14691,152850.0,151400.0,1.009577279,Condo
171016,141260.0,210000.0,0.6726,Single Family
80134,113570.0,80000.0,1.419625,Single Family
140531,96250.0,149000.0,0.645973154,Single Family
120061,219900.0,350000.0,0.628285714,Single Family
100008,203800.0,45000.0,4.528888889,Two Family
90516,220600.0,225000.0,0.980444444,Single Family
90718,107730.0,135000.0,0.798,Single Family
200297,160700.0,251000.0,0.6402,Single Family
60264,104940.0,223000.0,0.47058296,Single Family
200512,6400.0,16000.0,0.4,Single Family
190337,139020.0,235000.0,0.5916,Single Family
13048,817660.0,1075000.0,0.760613953,Single Family
161216,101850.0,87500.0,1.164,Single Family
15426,164210.0,145345.0,1.129794627,Single Family
180578,89770.0,145000.0,0.6191,Condo
150138,124180.0,105000.0,1.182666667,Single Family
200089,108800.0,140000.0,0.7771,Two Family
90425,151220.0,232000.0,0.651810345,Single Family
20200152,176540.0,290000.0,0.6087,Single Family
90374,94560.0,277900.0,0.340266283,Condo
80011,92200.0,35000.0,2.634285714,Single Family
60040,15430.0,269900.0,0.057169322,Single Family
180048,194700.0,285000.0,0.683157895,Single Family
70250,564690.0,738000.0,0.765162602,Single Family
110237,100940.0,125000.0,0.80752,Single Family
16171,127150.0,165000.0,0.770606061,Single Family
60440,96510.0,187500.0,0.51472,Single Family
20018,259700.0,467000.0,0.5561,Single Family
60732,224210.0,300000.0,0.747366667,Single Family
11067,308630.0,472153.0,0.653665231,Single Family
140209,101450.0,174500.0,0.581375358,Condo
170125,122560.0,130000.0,0.9427,Condo
180169,209370.0,310000.0,0.6753,Single Family
180305,176370.0,307500.0,0.5735,Single Family
130075,131300.0,145000.0,0.905517241,Condo
130240,121300.0,122300.0,0.991823385,Two Family
70297,342800.0,640000.0,0.535625,Single Family
190574,1280800.0,1800000.0,0.7116,Single Family
180451,123200.0,252400.0,0.4881,Single Family
69975,2488080.0,3650000.0,0.681665753,Single Family
150063,420000.0,571126.0,0.735389389,Condo
18006,112770.0,76504.0,1.474,Single Family
100909,129920.0,166000.0,0.782650602,Condo
140158,96250.0,177000.0,0.543785311,Single Family
100187,157700.0,225000.0,0.700888889,Single Family
170517,477400.0,580000.0,0.8231,Single Family
150435,134260.0,120000.0,1.118833333,Two Family
60211,84400.0,164000.0,0.514634146,Condo
130820,53830.0,60000.0,0.897166667,Condo
60329,112840.0,240000.0,0.470166667,Single Family
12058,176300.0,220000.0,0.801363636,Two Family
100137,106960.0,148000.0,0.722702703,Condo
140194,388570.0,549900.0,0.706619385,Two Family
100715,181100.0,223000.0,0.812107623,Single Family
110895,1084640.0,1640000.0,0.661365854,Single Family
18402,237110.0,470000.0,0.5044,Single Family
200874,94100.0,182000.0,0.517,Condo
101118,140020.0,46500.0,3.011182796,Three Family
14198,129400.0,163781.0,0.790079435,Single Family
60141,228500.0,238000.0,0.960084034,Single Family
90896,142990.0,670000.0,0.21341791,Condo
170067,138320.0,190000.0,0.728,Single Family
60266,288020.0,360000.0,0.800055556,Condo
160117,322560.0,509000.0,0.633713163,Single Family
15952,269460.0,370000.0,0.72827027,Single Family
61959,176540.0,150000.0,1.176933333,Condo
200096,523600.0,800000.0,0.6545,Single Family
160217,1457800.0,1500000.0,0.971866667,Single Family
69211,99700.0,150000.0,0.664666667,Single Family
150610,174100.0,270000.0,0.644814815,Single Family
1157,117000.0,37500.0,3.12,Single Family
140083,102200.0,88000.0,1.161363636,Single Family
140094,190800.0,282000.0,0.676595745,Single Family
70095,0.0,283504.0,0.0,Condo
70177,179690.0,350000.0,0.5134,Single Family
90157,153710.0,190000.0,0.809,Two Family
60104,237510.0,410000.0,0.579292683,Single Family
80110,49580.0,19000.0,2.609473684,Condo
160352,27990.0,27000.0,1.036666667,Condo
69466,122020.0,220000.0,0.554636364,Condo
10025,275360.0,277500.0,0.992288288,Single Family
140056,170600.0,195000.0,0.874871795,Single Family
15149,180600.0,260000.0,0.694615385,Single Family
800574,276640.0,430000.0,0.643348837,Single Family
12730,133160.0,95999.0,1.387097782,Single Family
19370,397250.0,632000.0,0.6286,Single Family
180157,263600.0,400000.0,0.659,Single Family
130315,114730.0,172900.0,0.663562753,Condo
60455,80150.0,179000.0,0.447765363,Single Family
12119,111990.0,124000.0,0.903145161,Single Family
61033,194460.0,400000.0,0.48615,Two Family
100898,316350.0,279900.0,1.13022508,Single Family
150060,101010.0,150000.0,0.6734,Single Family
900230,165200.0,237500.0,0.695578947,Condo
201296,89810.0,117000.0,0.7676,Condo
13003,202000.0,290000.0,0.696551724,Single Family
1600193,53480.0,79000.0,0.676962025,Condo
140588,127300.0,159900.0,0.796122577,Single Family
60021,300480.0,999000.0,0.300780781,Single Family
1900474,53980.0,79700.0,0.6773,Condo
1800210,222670.0,365000.0,0.61,Condo
170084,213400.0,266000.0,0.802255639,Single Family
190169,137200.0,247500.0,0.5543,Single Family
130073,246330.0,325000.0,0.757938462,Single Family
19814,375060.0,464000.0,0.8083,Single Family
150013,207100.0,230000.0,0.900434783,Single Family
140408,296520.0,473000.0,0.626892178,Two Family
